timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/10/01 15:17:01.659, NVIDIA RTX A6000, 70 %, 11 %, 49140 MiB, 48267 MiB, 406 MiB
2024/10/01 15:17:01.759, NVIDIA RTX A6000, 70 %, 11 %, 49140 MiB, 47243 MiB, 1430 MiB
2024/10/01 15:17:01.859, NVIDIA RTX A6000, 36 %, 4 %, 49140 MiB, 46603 MiB, 2070 MiB
2024/10/01 15:17:01.959, NVIDIA RTX A6000, 36 %, 4 %, 49140 MiB, 46133 MiB, 2540 MiB
2024/10/01 15:17:02.060, NVIDIA RTX A6000, 75 %, 13 %, 49140 MiB, 48351 MiB, 322 MiB
2024/10/01 15:17:02.160, NVIDIA RTX A6000, 75 %, 13 %, 49140 MiB, 47327 MiB, 1346 MiB
2024/10/01 15:17:02.260, NVIDIA RTX A6000, 34 %, 3 %, 49140 MiB, 46173 MiB, 2500 MiB
2024/10/01 15:17:02.360, NVIDIA RTX A6000, 34 %, 3 %, 49140 MiB, 46087 MiB, 2586 MiB
2024/10/01 15:17:02.461, NVIDIA RTX A6000, 74 %, 13 %, 49140 MiB, 46475 MiB, 2198 MiB
2024/10/01 15:17:02.561, NVIDIA RTX A6000, 74 %, 13 %, 49140 MiB, 47699 MiB, 974 MiB
2024/10/01 15:17:02.661, NVIDIA RTX A6000, 12 %, 1 %, 49140 MiB, 48305 MiB, 368 MiB
2024/10/01 15:17:02.761, NVIDIA RTX A6000, 12 %, 1 %, 49140 MiB, 46641 MiB, 2032 MiB
2024/10/01 15:17:02.861, NVIDIA RTX A6000, 36 %, 2 %, 49140 MiB, 45669 MiB, 3004 MiB
2024/10/01 15:17:02.961, NVIDIA RTX A6000, 36 %, 2 %, 49140 MiB, 48029 MiB, 644 MiB
2024/10/01 15:17:03.062, NVIDIA RTX A6000, 74 %, 14 %, 49140 MiB, 48005 MiB, 668 MiB
2024/10/01 15:17:03.162, NVIDIA RTX A6000, 74 %, 14 %, 49140 MiB, 46725 MiB, 1948 MiB
2024/10/01 15:17:03.262, NVIDIA RTX A6000, 36 %, 2 %, 49140 MiB, 45999 MiB, 2674 MiB
2024/10/01 15:17:03.362, NVIDIA RTX A6000, 36 %, 2 %, 49140 MiB, 48345 MiB, 328 MiB
2024/10/01 15:17:03.462, NVIDIA RTX A6000, 76 %, 14 %, 49140 MiB, 47321 MiB, 1352 MiB
2024/10/01 15:17:03.562, NVIDIA RTX A6000, 76 %, 14 %, 49140 MiB, 46553 MiB, 2120 MiB
2024/10/01 15:17:03.662, NVIDIA RTX A6000, 35 %, 2 %, 49140 MiB, 46081 MiB, 2592 MiB
2024/10/01 15:17:03.763, NVIDIA RTX A6000, 35 %, 2 %, 49140 MiB, 48301 MiB, 372 MiB
2024/10/01 15:17:03.863, NVIDIA RTX A6000, 75 %, 14 %, 49140 MiB, 47277 MiB, 1396 MiB
2024/10/01 15:17:03.963, NVIDIA RTX A6000, 75 %, 14 %, 49140 MiB, 46251 MiB, 2422 MiB
2024/10/01 15:17:04.063, NVIDIA RTX A6000, 36 %, 2 %, 49140 MiB, 46383 MiB, 2290 MiB
2024/10/01 15:17:04.163, NVIDIA RTX A6000, 36 %, 2 %, 49140 MiB, 48255 MiB, 418 MiB
2024/10/01 15:17:04.263, NVIDIA RTX A6000, 69 %, 14 %, 49140 MiB, 47231 MiB, 1442 MiB
2024/10/01 15:17:04.364, NVIDIA RTX A6000, 69 %, 14 %, 49140 MiB, 45951 MiB, 2722 MiB
