timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/10/01 15:21:00.164, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:00.264, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:00.364, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:00.464, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:00.564, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:00.664, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 35537 MiB, 13136 MiB
2024/10/01 15:21:00.768, NVIDIA RTX A6000, 19 %, 8 %, 49140 MiB, 36191 MiB, 12482 MiB
2024/10/01 15:21:00.869, NVIDIA RTX A6000, 96 %, 32 %, 49140 MiB, 43605 MiB, 5068 MiB
2024/10/01 15:21:00.969, NVIDIA RTX A6000, 96 %, 32 %, 49140 MiB, 43605 MiB, 5068 MiB
2024/10/01 15:21:01.069, NVIDIA RTX A6000, 100 %, 39 %, 49140 MiB, 43419 MiB, 5254 MiB
2024/10/01 15:21:01.169, NVIDIA RTX A6000, 100 %, 39 %, 49140 MiB, 43247 MiB, 5426 MiB
2024/10/01 15:21:01.269, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 42807 MiB, 5866 MiB
2024/10/01 15:21:01.369, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 42281 MiB, 6392 MiB
2024/10/01 15:21:01.470, NVIDIA RTX A6000, 37 %, 10 %, 49140 MiB, 42897 MiB, 5776 MiB
2024/10/01 15:21:01.570, NVIDIA RTX A6000, 37 %, 10 %, 49140 MiB, 42607 MiB, 6066 MiB
2024/10/01 15:21:01.670, NVIDIA RTX A6000, 58 %, 15 %, 49140 MiB, 42345 MiB, 6328 MiB
2024/10/01 15:21:01.770, NVIDIA RTX A6000, 58 %, 15 %, 49140 MiB, 42243 MiB, 6430 MiB
2024/10/01 15:21:01.870, NVIDIA RTX A6000, 32 %, 4 %, 49140 MiB, 41983 MiB, 6690 MiB
2024/10/01 15:21:01.970, NVIDIA RTX A6000, 32 %, 4 %, 49140 MiB, 42317 MiB, 6356 MiB
2024/10/01 15:21:02.071, NVIDIA RTX A6000, 44 %, 3 %, 49140 MiB, 46591 MiB, 2082 MiB
2024/10/01 15:21:02.171, NVIDIA RTX A6000, 44 %, 3 %, 49140 MiB, 48079 MiB, 594 MiB
2024/10/01 15:21:02.271, NVIDIA RTX A6000, 47 %, 4 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:02.371, NVIDIA RTX A6000, 47 %, 4 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:02.471, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:02.571, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:02.672, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:02.772, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:02.872, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:02.972, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:03.072, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:03.172, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 37143 MiB, 11530 MiB
2024/10/01 15:21:03.277, NVIDIA RTX A6000, 27 %, 11 %, 49140 MiB, 34725 MiB, 13948 MiB
2024/10/01 15:21:03.377, NVIDIA RTX A6000, 27 %, 11 %, 49140 MiB, 36087 MiB, 12586 MiB
